ID,c__ID,brand,c__brandName
39296197,,,Guess
40363632,,,
37378444,,,
40285578,,,Boss
40561059,,,Boss
20188977,,,Hickok
42120945,,,Boss
40538894,,,Calvin Klein
40014899,,,Corneliani
38118913,,,Scalpers
39904294,,,Chester & Peck
40279912,,,Boss
40841442,,,Boggi
40507657,,,Tommy Hilfiger
39482636,,,Maui Jim
40168107,,,Kenneth Cole
38168166,,,Salvatore Ferragamo
40319313,,,Tommy Hilfiger
40020045,,,Boss
40176374,,,DOLCE & GABANNA
40498065,,,Vilebrequin
40539611,,,Boss
40379994,,,Franco Cuadra
40841978,,,Boggi
40846904,,,Sandro
41760903,,,Quirelli
40523403,,,Polo Ralph Lauren
40273085,,,Magnanni
40636215,,,Polo Ralph Lauren
40452661,,,Chester & Peck
40145457,,,Scappino
40552139,,,Versace
40654112,,,Adolfo Dominguez
40788473,,,Boss
40552395,,,Versace
40021811,,,Hugo Boss
40264974,,,Joe S
41663727,,,Polo Ralph Lauren
40543309,,,Tommy Hilfiger
42164476,,,Replay
40019019,,,Salvatore Ferragamo
40545934,,,Epsilon
40555904,,,Lacoste
38852524,,,Vilebrequin
37516045,,,Pineda Covalin
40014665,,,Hex
40816034,,,Aldo
40485607,,,Chester & Peck
42055569,,,Catamaran
36184787,,,Novios de Protocolo
39938344,,,Hugo Boss
40433451,,,Supra
36954213,,,Altezza Rock
39639894,,,
39606295,,,Coach
39884108,,,Perry Ellis
38933836,,,Original Penguin
40658808,,,Scappino
40317152,,,Montblanc
39598529,,,Montblanc
40558096,,,Dolce & Gabanna
40063236,,,Novios de Protocolo
40181258,,,Tommy Hilfiger
39994029,,,UNO DE 50
39789314,,,Tommy Jeans
40123280,,,Polo Ralph Lauren
40967318,,,Fjällräven
40409652,,,The North Face
40235139,,,Quirelli
39679261,,,Penguin
39700618,,,Dockers
39978239,,,Franco Cuadra
40746374,,,Cortefiel
40147352,,,Ugg
40652688,,,Armani Exchange
40242999,,,Ermenegildo Zegna
40861091,,,Pertegaz
40572705,,,Boss
40653240,,,Epsilon
41663739,,,Polo Ralph Lauren
39976911,,,Calvin Klein
40545415,,,Hickok
40221229,,,
37718992,,,Hugo Boss
41843348,,,Fjällräven
39691445,,,Psycho Bunny
38891696,,,Vilebrequin
39077175,,,Ray Ban
40495995,,,
40567105,,,Timberland
40031600,,,Giorgio Armani
40481771,,,Boggi
40482554,,,O Meccanica
40181455,,,Adolfo Dominguez
39016799,,,SevenFriday
41019506,,,Boss
39719755,,,Levi's
36209743,,,Giorgio Armani
40556761,,,Salvatore Ferragamo
40014682,,,Hex
40503456,,,Magnanni
40504593,,,The North Face
40419108,,,Nautica
36736631,,,B+D
40189949,,,Montblanc
39686861,,,Ray Ban
40591859,,,Ciba
40381556,,,Miguel Bellido
36612429,,,Cufflinks Inc
40634380,,,Ray Ban
40241724,,,Roberto Verino
38313736,,,Penguin
40067312,,,Polo Ralph Lauren
40182522,,,
37705514,,,
40309553,,,Lacoste
40800235,,,Polo Ralph Lauren
38947778,,,K-Swiss
40788806,,,Hugo Boss
38066295,,,Pineda Covalin
40095854,,,Vans
40842765,,,Scalpers
40228506,,,Scappino
39370916,,,Ray Ban
40525171,,,Michael Michael Kors
40096379,,,Hackett
38663491,,,Perry Ellis
42092443,,,Givenchy
40159574,,,Caputo & Co.
40611483,,,The North Face
40925071,,,Diesel
39137446,,,Thomas Sabo
41007561,,,Prada
40782078,,,Mirto
40542841,,,Tommy Hilfiger
40031381,,,Ray Ban
40525308,,,Paul & Shark
40268189,,,Paul & Shark
40837457,,,Maui Jim
40290370,,,Polo Ralph Lauren
38913901,,,Boss
40279504,,,Hugo Boss
40806090,,,Ted Baker
40290526,,,Polo Ralph Lauren
41669514,,,Calvin Klein Jeans
40588691,,,The North Face
38854929,,,Cuadra
40523032,,,Polo Ralph Lauren
39500674,,,Porsche Desingn
40495844,,,AllSaints
40684715,,,Scappino
40800116,,,Polo Ralph Lauren
40848013,,,Aldo
39221602,,,Perry Ellis
40526177,,,Clarks
40782762,,,Springfield
40751882,,,The Kooples
40560399,,,Boss
39977954,,,Pineda Covalin
40200108,,,Calvin Klein
40563544,,,Rounderwear
40452651,,,Chester & Peck
40541871,,,Catamaran
40552321,,,Gianni Versace
40022215,,,Boss
40485440,,,Leyva
40839218,,,
40151748,,,The North Face
40909903,,,Ted Baker
40842111,,,Boggi
36970834,,,Italia Independent
40603265,,,Epsilon
40861280,,,Pertegaz
40350627,,,Nautica
40166119,,,Dario Beltran
40523482,,,Polo Ralph Lauren
40813833,,,Cuadra
39839109,,,Johnston & Murphy
40130419,,,Vineyard Vines
40550868,,,Lacoste
40785241,,,Springfield
36401906,,,Pineda Covalin
40139158,,,Dockers
40282162,,,Fraas
39955826,,,Salvatore Ferragamo
39137625,,,Thomas Sabo
40746523,,,Cortefiel
41670849,,,Catamaran
39151075,,,Cufflinks Inc
39139132,,,Dockers
39982299,,,Pantherella
40793760,,,Boss
36246555,,,Calvin Klein
40482369,,,Epsilon
39974125,,,Pineda Covalin
40655758,,,Nautica
40360519,,,Luigi Borrelli
40743063,,,Florsheim
39988895,,,Dita
40581464,,,Harmont & Blaine
39785755,,,Perry Ellis
40869650,,,Call It Spring
39137943,,,Thomas Sabo
40490692,,,The North Face
40567243,,,Calvin Klein
40072618,,,Tommy Hilfiger
39016797,,,SevenFriday
40243397,,,Call It Spring
40252412,,,Call It Spring
40115903,,,Polo Ralph Lauren
40924973,,,Diesel
40381843,,,Epsilon
40228184,,,Scappino
40616933,,,Boss
40442846,,,Tane
39686308,,,Oakley
40011777,,,Garmin
39118624,,,Levi's
38800777,,,Pineda Covalin
40235100,,,Quirelli
40028578,,,Salvatore Ferragamo
41758381,,,Happy Socks
36873284,,,Nike
40191990,,,Epsilon
